
1호선
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 05:23','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 07:25','yyyy-mm-dd hh24:mi'),1,1);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 08:19','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 10:21','yyyy-mm-dd hh24:mi'),23,23);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 08:27','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 10:29','yyyy-mm-dd hh24:mi'),24,24);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 08:35','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 10:37','yyyy-mm-dd hh24:mi'),25,25);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 08:43','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 10:45','yyyy-mm-dd hh24:mi'),26,26);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 08:51','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 10:53','yyyy-mm-dd hh24:mi'),27,27);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 08:59','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 11:01','yyyy-mm-dd hh24:mi'),28,28);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 09:07','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 11:09','yyyy-mm-dd hh24:mi'),29,29);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 09:15','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 11:17','yyyy-mm-dd hh24:mi'),30,30);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 09:23','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 11:25','yyyy-mm-dd hh24:mi'),31,1);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 09:31','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 11:33','yyyy-mm-dd hh24:mi'),32,2);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 09:39','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 11:41','yyyy-mm-dd hh24:mi'),33,3);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 09:47','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 11:49','yyyy-mm-dd hh24:mi'),34,4);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 09:55','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 11:57','yyyy-mm-dd hh24:mi'),35,5);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 10:03','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 12:05','yyyy-mm-dd hh24:mi'),36,6);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 10:11','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 12:13','yyyy-mm-dd hh24:mi'),37,7);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 10:19','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 12:21','yyyy-mm-dd hh24:mi'),38,8);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 10:27','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 12:29','yyyy-mm-dd hh24:mi'),39,9);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 10:35','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 12:37','yyyy-mm-dd hh24:mi'),40,10);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 10:43','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 12:45','yyyy-mm-dd hh24:mi'),41,11);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 10:51','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 12:53','yyyy-mm-dd hh24:mi'),42,12);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 10:59','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 13:01','yyyy-mm-dd hh24:mi'),43,13);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 11:07','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 13:09','yyyy-mm-dd hh24:mi'),44,14);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 11:15','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 13:17','yyyy-mm-dd hh24:mi'),45,15);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 11:23','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 13:25','yyyy-mm-dd hh24:mi'),46,16);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 11:31','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 13:33','yyyy-mm-dd hh24:mi'),47,17);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 11:39','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 13:41','yyyy-mm-dd hh24:mi'),48,18);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 11:47','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 13:49','yyyy-mm-dd hh24:mi'),49,19);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 11:55','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 13:57','yyyy-mm-dd hh24:mi'),50,20);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 12:03','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 14:05','yyyy-mm-dd hh24:mi'),51,21);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 12:11','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 14:13','yyyy-mm-dd hh24:mi'),52,22);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 12:19','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 14:21','yyyy-mm-dd hh24:mi'),53,23);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 12:27','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 14:29','yyyy-mm-dd hh24:mi'),54,24);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 12:35','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 14:37','yyyy-mm-dd hh24:mi'),55,25);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 12:43','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 14:45','yyyy-mm-dd hh24:mi'),56,26);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 12:51','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 14:53','yyyy-mm-dd hh24:mi'),57,27);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 12:59','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 15:01','yyyy-mm-dd hh24:mi'),58,28);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 13:07','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 15:09','yyyy-mm-dd hh24:mi'),59,29);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 13:15','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 15:17','yyyy-mm-dd hh24:mi'),60,30);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 13:23','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 15:25','yyyy-mm-dd hh24:mi'),61,1);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 13:31','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 15:33','yyyy-mm-dd hh24:mi'),62,2);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 13:39','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 15:41','yyyy-mm-dd hh24:mi'),63,3);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 13:47','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 15:49','yyyy-mm-dd hh24:mi'),64,4);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 13:55','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 15:57','yyyy-mm-dd hh24:mi'),65,5);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 14:03','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 16:05','yyyy-mm-dd hh24:mi'),66,6);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 14:11','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 16:13','yyyy-mm-dd hh24:mi'),67,7);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 14:19','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 16:21','yyyy-mm-dd hh24:mi'),68,8);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 14:27','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 16:29','yyyy-mm-dd hh24:mi'),69,9);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 14:35','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 16:37','yyyy-mm-dd hh24:mi'),70,10);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 14:43','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 16:45','yyyy-mm-dd hh24:mi'),71,11);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 14:51','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 16:53','yyyy-mm-dd hh24:mi'),72,12);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 14:59','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 17:01','yyyy-mm-dd hh24:mi'),73,13);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 15:07','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 17:09','yyyy-mm-dd hh24:mi'),74,14);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 15:15','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 17:17','yyyy-mm-dd hh24:mi'),75,15);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 15:23','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 17:25','yyyy-mm-dd hh24:mi'),76,16);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 15:31','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 17:33','yyyy-mm-dd hh24:mi'),77,17);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 15:39','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 17:41','yyyy-mm-dd hh24:mi'),78,18);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 15:47','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 17:49','yyyy-mm-dd hh24:mi'),79,19);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 15:55','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 17:57','yyyy-mm-dd hh24:mi'),80,20);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 16:03','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 18:05','yyyy-mm-dd hh24:mi'),81,21);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 16:11','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 18:13','yyyy-mm-dd hh24:mi'),82,22);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 16:19','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 18:21','yyyy-mm-dd hh24:mi'),83,23);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 16:27','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 18:29','yyyy-mm-dd hh24:mi'),84,24);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 16:35','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 18:37','yyyy-mm-dd hh24:mi'),85,25);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 16:43','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 18:45','yyyy-mm-dd hh24:mi'),86,26);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 16:51','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 18:53','yyyy-mm-dd hh24:mi'),87,27);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 16:59','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 19:01','yyyy-mm-dd hh24:mi'),88,28);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 17:07','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 19:09','yyyy-mm-dd hh24:mi'),89,29);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 17:15','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 19:17','yyyy-mm-dd hh24:mi'),90,30);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 17:23','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 19:25','yyyy-mm-dd hh24:mi'),91,1);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 17:31','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 19:33','yyyy-mm-dd hh24:mi'),92,2);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 17:39','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 19:41','yyyy-mm-dd hh24:mi'),93,3);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 17:47','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 19:49','yyyy-mm-dd hh24:mi'),94,4);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 17:55','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 19:57','yyyy-mm-dd hh24:mi'),95,5);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 18:03','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 20:05','yyyy-mm-dd hh24:mi'),96,6);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 18:11','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 20:13','yyyy-mm-dd hh24:mi'),97,7);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 18:19','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 20:21','yyyy-mm-dd hh24:mi'),98,8);
